Wormbase.ID,Sequence.ID,Category.1,Category.2,Category.3,Automated.Description
WBGene00019605,K10B2.2,Proteolysis general,Proteolysis general: cysteine,Proteolysis general: cysteine: cathepsin,ctsa-1 is an ortholog of human CTSA (cathepsin A)\; is predicted to have serine-type carboxypeptidase activity.
WBGene00044953,D2096.13,Unassigned,Unassigned,Unassigned,"D2096.13 is affected by several genes including hpl-2, emb-4, and nhr-114 based on microarray, tiling array, and RNA-seq studies\; is affected by Rotenone, multi-walled carbon nanotube, and Zidovudine based on RNA-seq studies."
WBGene00001945,F45E1.6,Transcription: chromatin,Transcription: chromatin structure,Transcription: chromatin structure: histone,his-71 is an ortholog of human H3F3A (H3 histone 3A)\; is predicted to have DNA binding activity and protein heterodimerization activity\; is expressed in several tissues including the intestine and the nervous system.
WBGene00015116,B0286.3,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,pacs-1 is an ortholog of human PAICS (phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase)\; exhibits identical protein binding activity.
WBGene00015089,B0252.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"B0252.5 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-2, let-7, and dpy-10 based on microarray, RNA-seq, and proteomic studies\; is affected by nine chemicals including manganese chloride, D-glucose, and Alovudine based on RNA-seq and microarray studies."
WBGene00015141,B0310.5,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,ugt-46 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have glucuronosyltransferase activity.
WBGene00015148,B0336.11,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"hpo-28 is an ortholog of human MOSPD2\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
WBGene00015167,B0403.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"B0403.3 is enriched in the nervous system based on microarray studies\; is affected by several genes including daf-16, let-60, and daf-12 based on microarray, tiling array, and RNA-seq studies\; is affected by eight chemicals including methylmercuric chloride, Rotenone, and bisphenol S based on microarray and RNA-seq studies."
WBGene00015356,C02F12.7,Unassigned,Unassigned,Unassigned,tag-278 is an ortholog of human FAM184A and FAM184B\; is expressed in the body wall musculature\; is predicted to encode a protein with the following domains: FAM184 family and Protein FAM184A.
WBGene00000503,C04F6.3,Extracellular material,Extracellular material: chitinase,Extracellular material: chitinase,"cht-1 is an ortholog of human CHI3L2 (chitinase 3 like 2), CHIA (chitinase, acidic), and OVGP1\; is predicted to have chitin binding activity and chitinase activity\; is involved in response to fungus\; is expressed in the gonad\; human orthologs of this gene are implicated in schizophrenia."
WBGene00014092,ZK822.5,Transmembrane transport,Transmembrane transport: solute carrier,Transmembrane transport: solute carrier,"ZK822.5 is an ortholog of human SLC5A12 (solute carrier family 5 member 12), SLC5A5 (solute carrier family 5 member 5), and SLC5A6 (solute carrier family 5 member 6)\; is predicted to have transmembrane transporter activity\; is expressed in several tissues, including the alimentary system, the head, the muscular system, the nervous system, and the reproductive system."
WBGene00007073,AC3.8,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-2 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have transferase activity, transferring hexosyl groups."
WBGene00007071,AC3.5,Proteolysis general,Proteolysis general: unassigned,Proteolysis general: unassigned,AC3.5 is an ortholog of human NPEPPS (aminopeptidase puromycin sensitive)\; is predicted to have metallopeptidase activity and zinc ion binding activity.
WBGene00007097,B0024.4,Stress response,Stress response: pathogen,Stress response: pathogen: unassigned,B0024.4 localizes to the membrane raft.
WBGene00007190,B0491.3,Cytoskeleton,Cytoskeleton: microtubule,Cytoskeleton: microtubule: RMDN,rmd-3 is an ortholog of human RMDN2 and RMDN3\; is predicted to encode a protein with the following domain: Tetratricopeptide-like helical domain superfamily.
WBGene00007225,C01G6.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C01G6.3 is enriched in several tissues, including the Z1.p, the Z4.a, the epithelial system, the reproductive system, and the somatic gonad precursor based on tiling array and RNA-seq studies\; is affected by several genes including glp-1, daf-12, and dpy-10 based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by twelve chemicals including Heme, Ethanol, and methylmercury hydroxide based on microarray and RNA-seq studies."
WBGene00006510,C01G6.6,Metabolism,Metabolism: 1CC,Metabolism: 1CC: folate,mtrr-1 is an ortholog of human MTRR\; is predicted to have FMN binding activity and [methionine synthase] reductase activity\; human orthologs of this gene are implicated in neural tube defect.
WBGene00007254,C01H6.4,Metabolism,Metabolism: unassigned,Metabolism: unassigned,"C01H6.4 is predicted to have N,N-dimethylaniline monooxygenase activity, NADP binding activity, and flavin adenine dinucleotide binding activity\; is expressed in the intestine and the nervous system."
WBGene00007295,C04C11.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C04C11.1 is affected by several genes including daf-2, cep-1, and lin-15B based on microarray and RNA-seq studies\; is affected by six chemicals including methylmercuric chloride, stavudine, and Zidovudine based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: CAP domain and CAP superfamily."
WBGene00007308,C04G2.9,Unassigned,Unassigned,Unassigned,"C04G2.9 is enriched in the amphid sheath cell, the germ line, and the male based on RNA-seq and microarray studies\; is affected by several genes including daf-2, glp-1, and age-1 based on microarray, proteomic, and RNA-seq studies\; is affected by twenty-five chemicals including Ethanol, methylmercury hydroxide, and 1-methylnicotinamide based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Cytosolic motility protein."
WBGene00007337,C05C12.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C05C12.5 is enriched in the germ line, the male, and the nervous system based on proteomic, RNA-seq, and microarray studies\; is affected by several genes including daf-12, let-7, and dpy-10 based on microarray, RNA-seq, tiling array, and proteomic studies\; is affected by sixteen chemicals including Ethanol, methylmercury hydroxide, and methylmercuric chloride based on RNA-seq and microarray studies."
WBGene00000136,C05E11.5,Transmembrane transport,Transmembrane transport: ammonium,Transmembrane transport: ammonium,amt-4 is predicted to have ammonium transmembrane transporter activity.
WBGene00015515,C06A8.5,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics: unassigned,"spdl-1 is involved in several processes, including attachment of spindle microtubules to kinetochore, embryo development, and regulation of organelle organization\; localizes to the kinetochore and microtubule."
WBGene00015569,C07D10.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C07D10.5 is enriched in several tissues, including the Z1.p, the Z4.a, the alimentary system, the male distal tip cell, and the nervous system based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and hsf-1 based on microarray and RNA-seq studies\; is affected by thirteen chemicals including 1-methylnicotinamide, methylmercuric chloride, and Rotenone based on RNA-seq and microarray studies."
WBGene00007500,C09H10.6,Proteolysis general,Proteolysis general: unassigned,Proteolysis general: unassigned,nasp-1 is an ortholog of human NASP (nuclear autoantigenic sperm protein)\; is expressed in the pharynx\; human NASP exhibits histone binding activity.
WBGene00007506,C10C5.2,Stress response,Stress response: pathogen,Stress response: pathogen: unassigned,C10C5.2 is involved in innate immune response.
WBGene00007536,C12D8.5,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,"daf-36 is predicted to have 2 iron, 2 sulfur cluster binding activity, metal ion binding activity, and oxidoreductase activity\; localizes to the cytoplasm\; is expressed in the hmc, the intestine, the nervous system, and the seam cell."
WBGene00007048,C16A3.7,Transcription factor,Transcription factor: NF,Transcription factor: NF,"nfx-1 is an ortholog of human NFX1 (nuclear transcription factor, X-box binding 1)\; is predicted to have DNA binding activity, DNA-binding activity transcription factor activity, and zinc ion binding activity."
WBGene00015965,C18C4.3,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,ugt-48 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have calmodulin binding activity and glucuronosyltransferase activity.
WBGene00016084,C25A8.4,Extracellular material,Extracellular material: chitinase,Extracellular material: chitinase,"cht-3 is predicted to have chitin binding activity and hydrolase activity, acting on glycosyl bonds\; is expressed in the reproductive system."
WBGene00016134,C26B9.5,Proteolysis general,Proteolysis general: serine,Proteolysis general: serine,C26B9.5 is an ortholog of human PRSS16 (serine protease 16)\; is predicted to have serine-type peptidase activity\; localizes to the membrane raft.
WBGene00001102,C27A2.6,Signaling,Signaling: WNT,Signaling: WNT,"dsh-2 is an ortholog of human DVL1 (dishevelled segment polarity protein 1), DVL2 (dishevelled segment polarity protein 2), and DVL3 (dishevelled segment polarity protein 3)\; is predicted to have signaling adaptor activity\; is involved in several processes, including Wnt signaling pathway, regulating spindle positioning, animal organ development, and asymmetric cell division\; localizes to the cell cortex\; is expressed in several tissues, including the gonad, the intestine, the nervous system, and the somatic gonad precursor\; human orthologs of this gene are implicated in autosomal dominant Robinow syndrome 1 and autosomal dominant Robinow syndrome 2."
WBGene00001852,C30G7.1,Transcription: chromatin,Transcription: chromatin structure,Transcription: chromatin structure: histone,"hil-1 is an ortholog of human H1F0 (H1 histone 0)\; is predicted to have DNA binding activity\; is involved in several processes, including body morphogenesis, growth, and locomotion\; localizes to the intermediate filament cytoskeleton and nucleolus\; is expressed in several tissues, including the excretory secretory system and the muscular system."
WBGene00007885,C33A12.6,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,ugt-21 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have glucuronosyltransferase activity.
WBGene00016358,C33F10.12,Transmembrane transport,Transmembrane transport: mitochondrial,Transmembrane transport: mitochondrial: solute carrier,C33F10.12 is an ortholog of human SLC25A3 (solute carrier family 25 member 3)\; is predicted to encode a protein with the following domains: Mitochondrial substrate\/solute carrier and Mitochondrial carrier domain superfamily.
WBGene00008035,C39E9.12,Ribosome,Ribosome: biogenesis,Ribosome: biogenesis,"C39E9.12 is enriched in the germ line based on RNA-seq studies\; is affected by several genes including glp-1, skn-1, and daf-12 based on microarray, tiling array, and RNA-seq studies\; is affected by ten chemicals including stavudine, Zidovudine, and Cholestanol based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: SAP domain and SAP domain superfamily."
WBGene00016541,C39H7.1,Cytoskeleton,Cytoskeleton: microtubule,Cytoskeleton: microtubule: tau tubulin kinase,"C39H7.1 is an ortholog of human CTD-2116N17.1, TTBK1 (tau tubulin kinase 1), and TTBK2\; is predicted to have ATP binding activity and protein serine\/threonine kinase activity."
WBGene00016702,C46A5.6,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C46A5.6 is enriched in the nervous system and the reproductive system based on tiling array and RNA-seq studies\; is affected by several genes including daf-2, glp-1, and let-7 based on microarray, proteomic, and RNA-seq studies\; is affected by eight chemicals including Rotenone, manganese chloride, and bisphenol S based on RNA-seq and microarray studies."
WBGene00013926,ZK20.6,Proteolysis general,Proteolysis general: metallopeptidase,Proteolysis general: metallopeptidase,nep-1 is an ortholog of human ECE1 (endothelin converting enzyme 1) and ECE2 (endothelin converting enzyme 2)\; is predicted to have metal ion binding activity and metalloendopeptidase activity\; is expressed in the RIH and the pharynx.
WBGene00016997,D1005.3,Transcription factor,Transcription factor: bZIP,Transcription factor: bZIP,"cebp-1 is an ortholog of human CEBPG (CCAAT enhancer binding protein gamma)\; is involved in several processes, including activation of MAPK activity, generation of neurons, and regulation of nervous system development\; localizes to the cytoplasm, nucleus, and synapse\; is expressed in several tissues, including the alimentary system, the hypodermis, the muscle cell, and the nervous system."
WBGene00008377,D1054.10,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"D1054.10 is enriched in several tissues, including the alimentary system, the body wall musculature, the germ line, and the nervous system based on Chronogram, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, RNA-seq, proteomic, and tiling array studies\; is affected by twelve chemicals including Heme, Ethanol, and manganese chloride based on microarray and RNA-seq studies."
WBGene00008375,D1054.8,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,D1054.8 is an ortholog of human HSD17B14\; is predicted to encode a protein with the following domains: Short-chain dehydrogenase\/reductase SDR and NAD(P)-binding domain superfamily.
WBGene00008378,D1054.11,Unassigned,Unassigned,Unassigned,"ule-3 is enriched in dopaminergic neurons, the cephalic sheath cell, the germ line, and the hypodermis based on tiling array, RNA-seq, and proteomic studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, RNA-seq, proteomic, and tiling array studies\; is affected by eleven chemicals including Ethanol, Rotenone, and manganese chloride based on RNA-seq and microarray studies."
WBGene00017071,D2096.3,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"aagr-1 is an ortholog of human MGAM (maltase-glucoamylase)\; exhibits alpha-1,4-glucosidase activity\; is involved in glycogen catabolic process."
WBGene00017127,E04F6.8,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"E04F6.8 is enriched in several tissues, including the coelomocyte, the excretory cell, the hypodermis, the intestine, and the nervous system based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, RNA-seq, and tiling array studies\; is affected by ten chemicals including Rotenone, Alovudine, and Zidovudine based on RNA-seq and microarray studies."
WBGene00017128,E04F6.9,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"E04F6.9 is enriched in the epithelial system, the muscle cell, the nervous system, and the sensillum based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, proteomic, RNA-seq, and tiling array studies\; is affected by seven chemicals including Rotenone, nicotine, and Zidovudine based on RNA-seq, proteomic, and microarray studies."
WBGene00004020,EGAP2.3,Lysosome,Lysosome: acid phosphatase,Lysosome: acid phosphatase,"pho-1 is an ortholog of human ACP2 (acid phosphatase 2, lysosomal), ACP4 (acid phosphatase 4), and ACPP (acid phosphatase, prostate)\; is predicted to have acid phosphatase activity\; localizes to the membrane raft\; is expressed in the intestine."
WBGene00017177,F02E8.4,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F02E8.4 is enriched in GABAergic neurons and the germ line based on RNA-seq studies\; is affected by several genes including daf-2, age-1, and lin-4 based on microarray, tiling array, and RNA-seq studies\; is affected by eleven chemicals including Rotenone, D-glucose, and bisphenol A based on RNA-seq and microarray studies."
WBGene00008541,F07A5.2,Unassigned,Unassigned,Unassigned,"F07A5.2 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-2, glp-1, and age-1 based on microarray, RNA-seq, and proteomic studies\; is affected by twenty-three chemicals including Ethanol, methylmercury hydroxide, and nicotinic acid based on RNA-seq and microarray studies."
WBGene00008560,F07H5.9,Lysosome,Lysosome: acid phosphatase,Lysosome: acid phosphatase,"pho-13 is an ortholog of human ACP2 (acid phosphatase 2, lysosomal), ACP4 (acid phosphatase 4), and ACPP (acid phosphatase, prostate)\; human ACPP exhibits phosphatase activity and protein homodimerization activity."
WBGene00008572,F08B12.4,Unassigned,Unassigned,Unassigned,"F08B12.4 localizes to the nucleus\; is expressed in metacorpus, the body wall musculature, and the tail."
WBGene00006063,F08C6.4,Proteolysis general,Proteolysis general: unassigned,Proteolysis general: unassigned,sto-1 is an ortholog of human STOM and STOML3\; is expressed in the nervous system and the pharynx\; human STOM exhibits RNA polymerase binding activity.
WBGene00017270,F08F8.5,Unassigned,Unassigned,Unassigned,"numr-1 is expressed in several tissues, including the alimentary system, the muscle cell, and the nervous system\; is predicted to encode a protein with the following domain: Uncharacterized strongylid L4 protein."
WBGene00000988,F09E10.3,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,dhs-25 is an ortholog of human HSD17B8 (hydroxysteroid 17-beta dehydrogenase 8)\; human HSD17B8 exhibits NADH binding activity and oxidoreductase activity.
WBGene00017340,F10D7.3,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: unassigned,"F10D7.3 is an ortholog of human GLRX (glutaredoxin)\; is predicted to have several functions, including 2 iron, 2 sulfur cluster binding activity, metal ion binding activity, and oxidoreductase activity."
WBGene00001387,F15B9.1,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"far-3 is predicted to have lipid binding activity\; is expressed in the hypodermis, the intestine, the male, and the vulva."
WBGene00008850,F15B9.6,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"F15B9.6 is enriched in the OLL, the PVD, and the intestine based on microarray and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, tiling array, and RNA-seq studies\; is affected by eighteen chemicals including Heme, methylmercury hydroxide, and 1-methylnicotinamide based on microarray and RNA-seq studies."
WBGene00017549,F18A1.8,Unassigned,Unassigned,Unassigned,pid-1 localizes to the cytoplasm and nucleus.
WBGene00017592,F19C7.2,Proteolysis general,Proteolysis general: serine,Proteolysis general: serine,F19C7.2 is an ortholog of human PRSS16 (serine protease 16)\; is predicted to have serine-type peptidase activity.
WBGene00017635,F20D6.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F20D6.5 is enriched in the alimentary system, the body wall musculature, the digestive tract, and the nervous system based on Chronogram, tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray and RNA-seq studies\; is affected by eight chemicals including levamisole, resveratrol, and Cry5B based on microarray studies\; is predicted to encode a protein with the following domains: Protein kinase-like domain superfamily, Uncharacterised  oxidoreductase Dhs-27, and CHK kinase-like."
WBGene00017658,F21C10.9,Unassigned,Unassigned,Unassigned,"F21C10.9 is enriched in the hypodermis, the intestine, the nervous system, and the sensillum based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, proteomic, and RNA-seq studies\; is affected by twenty-eight chemicals including Nitric Oxide, 1-methylnicotinamide, and methylmercuric chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Acyl-CoA N-acyltransferase."
WBGene00004006,F22E10.1,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-12 is an ortholog of human ABCB9 (ATP binding cassette subfamily B member 9) and XXbac-BPG246D15.9\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is involved in response to nematicide\; is expressed in several tissues, including the alimentary system, the excretory cell, the head, the hypodermis, and the tail."
WBGene00004007,F22E10.2,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-13 is an ortholog of human ABCB9 (ATP binding cassette subfamily B member 9) and XXbac-BPG246D15.9\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in amphid neurons and the intestine."
WBGene00001854,F22F1.1,Transcription: chromatin,Transcription: chromatin structure,Transcription: chromatin structure: histone,hil-3 is an ortholog of human H1F0 (H1 histone 0)\; is predicted to have DNA binding activity\; is expressed in several tissues including the tail.
WBGene00002125,F22F4.2,Cytoskeleton,Cytoskeleton: innexin,Cytoskeleton: innexin,"inx-3 is predicted to have gap junction hemi-channel activity\; is involved in embryonic morphogenesis\; localizes to the cytoplasm and gap junction\; is expressed in several tissues, including the alimentary system, the epithelial system, the germline blastomere, the nervous system, and the somatic blastomere."
WBGene00009089,F23D12.5,Transcription: chromatin,Transcription: chromatin modification,Transcription: chromatin modification: demethylase,"jmjd-3.2 is an ortholog of human KDM6A (lysine demethylase 6A), KDM6B, and UTY (ubiquitously transcribed tetratricopeptide repeat containing, Y-linked)\; human orthologs of this gene are implicated in Kabuki syndrome\; is predicted to encode a protein with the following domain: JmjC domain."
WBGene00000298,F32G8.6,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,"cat-4 is an ortholog of human GCH1\; exhibits GTP cyclohydrolase I activity\; is involved in dopamine biosynthetic process from tyrosine, melanin biosynthetic process, and tetrahydrobiopterin biosynthetic process\; is expressed in several tissues, including the alimentary system, the hyp7 syncytium, the muscular system, and the nervous system\; human orthologs of this gene are implicated in dystonia 5."
WBGene00004256,ZK994.3,Metabolism,Metabolism: unassigned,Metabolism: unassigned,"pxn-1 is an ortholog of human PXDN (peroxidasin) and PXDNL (peroxidasin like)\; is predicted to have heme binding activity, metal ion binding activity, and peroxidase activity\; localizes to the basement membrane\; is expressed in several tissues, including the excretory cell, the hypodermis, the intestine, the muscular system, and the nervous system."
WBGene00004000,T21E8.1,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-6 is an ortholog of human ABCB4 (ATP binding cassette subfamily B member 4), ABCB11 (ATP binding cassette subfamily B member 11), and ABCB1\; is predicted to have efflux transmembrane transporter activity\; is involved in response to nematicide\; is expressed in amphid neurons, the head, the intestine, and the pharynx."
WBGene00044784,F13H10.8,Metabolism,Metabolism: lipid,Metabolism: lipid: sphingolipid,"F13H10.8 is enriched in the intestine based on RNA-seq studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on tiling array, RNA-seq, microarray, and proteomic studies\; is affected by Rotenone based on RNA-seq studies\; is predicted to encode a protein with the following domain: Small subunit of serine palmitoyltransferase-like."
WBGene00018036,F35C8.5,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,F35C8.5 is an ortholog of human CH25H (cholesterol 25-hydroxylase)\; is predicted to have iron ion binding activity and oxidoreductase activity.
WBGene00018044,F35D11.3,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"F35D11.3 is an ortholog of human TMCO4\; is expressed in several tissues, including the alimentary system, the nervous system, and the reproductive system\; is predicted to encode a protein with the following domains: Protein of unknown function DUF726 and Alpha\/Beta hydrolase fold."
WBGene00018174,F38B6.4,Unassigned,Unassigned,Unassigned,"F38B6.4 is predicted to have several functions, including ATP binding activity, ligase activity, forming carbon-nitrogen bonds, and metal ion binding activity\; is expressed in the intestinal cell."
WBGene00002012,F38E11.1,Stress response,Stress response: heat,Stress response: heat,"hsp-12.3 is an ortholog of human CRYAA (crystallin alpha A), CRYAB (crystallin alpha B), and HSPB2 (heat shock protein family B (small) member 2)\; exhibits heat shock protein binding activity and unfolded protein binding activity."
WBGene00002253,F40F4.3,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"lbp-1 is predicted to have lipid binding activity\; is expressed in several tissues, including the alimentary system, the hypodermis, the muscular system, and the reproductive system."
WBGene00002254,F40F4.2,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,lbp-2 is predicted to have lipid binding activity.
WBGene00001243,F41H10.7,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"elo-5 is an ortholog of human ELOVL3 and ELOVL6\; is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups\; is expressed in amphid neurons and the intestine."
WBGene00001244,F41H10.8,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"elo-6 is an ortholog of human ELOVL3 and ELOVL6\; is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups\; is expressed in amphid neurons, the intestine, the nerve ring, and the vulva."
WBGene00006584,F42E11.4,Muscle function,Muscle function,Muscle function,"tni-1 is an ortholog of human TNNI1 (troponin I1, slow skeletal type), TNNI2 (troponin I2, fast skeletal type), and TNNI3\; exhibits troponin C binding activity\; is involved in backward locomotion\; localizes to the muscle thin filament tropomyosin\; is expressed in several tissues, including the male, the muscular system, the rectal muscle, and the reproductive system\; human orthologs of this gene are implicated in distal arthrogryposis and intrinsic cardiomyopathy (multiple)."
WBGene00018376,F43C9.2,Signaling,Signaling: calcium,Signaling: calcium: calmodulin,"F43C9.2 is an ortholog of human CALML3 (calmodulin like 3), CALML4 (calmodulin like 4), and CALML5 (calmodulin like 5)\; is predicted to have calcium ion binding activity."
WBGene00018398,F43H9.2,Metabolism,Metabolism: lipid,Metabolism: lipid: sphingolipid,sptl-2 is an ortholog of human SPTLC2 and SPTLC3\; is predicted to have pyridoxal phosphate binding activity and serine C-palmitoyltransferase activity\; human orthologs of this gene are implicated in hereditary sensory and autonomic neuropathy type 1C.
WBGene00009777,F46C3.2,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"F46C3.2 is enriched in the body wall musculature and the intestine based on RNA-seq and microarray studies\; is affected by several genes including daf-12, elt-2, and eat-2 based on tiling array, RNA-seq, and microarray studies\; is affected by Cry5B and Humic Substances based on microarray studies."
WBGene00000467,F52B5.5,DNA,DNA: repair,DNA: repair,"cep-1 exhibits several functions, including DNA-binding activity transcription factor activity, protein homodimerization activity, and sequence-specific DNA binding activity\; is involved in several processes, including determination of adult lifespan, intracellular signal transduction, and meiotic chromosome segregation\; localizes to the nucleolus and nucleoplasm\; is expressed in several tissues, including the ABalaaap, the ABarapaaa, the ABarapaap, the ABarapapa, and the alimentary system."
WBGene00002265,F52H3.7,Extracellular material,Extracellular material: galectin,Extracellular material: galectin,"lec-2 is an ortholog of human LGALS2 (galectin 2), LGALS1, and LGALS14 (galectin 14)\; is predicted to have carbohydrate binding activity\; localizes to the membrane raft and plasma membrane."
WBGene00006816,F54B11.3,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"unc-84 is an ortholog of human SUN2, SUN5, and SUN3\; exhibits lamin binding activity\; is involved in several processes, including locomotion, nervous system development, and nuclear migration along microtubule\; localizes to the integral component of membrane and nuclear inner membrane\; colocalizes with the lamin filament\; is expressed widely."
WBGene00010051,F54D5.5,Unassigned,Unassigned,Unassigned,"F54D5.5 is enriched in the germ line and the hypodermis based on tiling array and RNA-seq studies\; is affected by several genes including daf-2, dpy-10, and hsf-1 based on microarray and RNA-seq studies\; is affected by four chemicals including Quercetin, paraquat, and Sirolimus based on microarray studies."
WBGene00010065,F54F7.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F54F7.3 is enriched in the nervous system based on RNA-seq studies\; is affected by several genes including daf-16, daf-2, and let-7 based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by eleven chemicals including Ethanol, Rotenone, and sodium arsenite based on RNA-seq and microarray studies."
WBGene00018885,F55E10.6,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,"drd-5 is an ortholog of human DHRS9 (dehydrogenase\/reductase 9), BDH1 (3-hydroxybutyrate dehydrogenase 1), and RDH16\; human orthologs of this gene are implicated in fundus albipunctatus\; human DHRS9 exhibits alcohol dehydrogenase (NAD) activity, retinol dehydrogenase activity, and testosterone dehydrogenase (NAD+) activity."
WBGene00018966,F56D2.5,Proteolysis proteasome,Proteolysis proteasome: E3,Proteolysis proteasome: E3: unassigned,F56D2.5 is an ortholog of human RNF14 (ring finger protein 14)\; is predicted to have metal ion binding activity and ubiquitin-protein transferase activity\; is involved in innate immune response.
WBGene00018969,F56D3.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F56D3.1 is enriched in the OLL, the PVD, the germ line, and the hypodermis based on proteomic, microarray, and tiling array studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, RNA-seq, and proteomic studies\; is affected by eighteen chemicals including hydrogen sulfide, methylmercury hydroxide, and 1-methylnicotinamide based on microarray and RNA-seq studies."
WBGene00000732,F57B1.3,Extracellular material,Extracellular material: collagen,Extracellular material: collagen,col-159 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle.
WBGene00003093,F58B3.1,Proteolysis general,Proteolysis general: lysozyme,Proteolysis general: lysozyme,lys-4 is predicted to have lysozyme activity\; is involved in defense response to Gram-positive bacterium.
WBGene00001828,F40E10.1,Proteolysis general,Proteolysis general: metallopeptidase,Proteolysis general: metallopeptidase,hch-1 is predicted to have metalloendopeptidase activity and zinc ion binding activity\; is involved in hatching and neuron migration\; is expressed in the hypodermis.
